x,y
-0.182049,-0.891925
0.000972,-1.042734
0.207850,-0.926798
0.302424,-0.873799
0.509303,-0.757863
0.476210,-0.523034
0.461082,-0.415683
0.427989,-0.180853
0.197128,-0.126605
0.497785,-0.800509
0.723573,-0.727985
0.737794,-0.491262
0.744295,-0.383045
0.758515,-0.146322
0.543033,-0.047290
0.444527,-0.002018
0.229044,0.097015
0.058661,-0.067938
0.788177,-0.179055
0.849144,0.050124
0.657632,0.189992
0.570083,0.253932
0.378571,0.393800
0.178813,0.265985
0.087494,0.207556
-0.112264,0.079741
-0.065520,-0.152756
0.340880,-0.734764
0.577928,-0.741689
0.670279,-0.523260
0.712496,-0.423406
0.804847,-0.204977
0.634726,-0.039753
0.556956,0.035778
0.386835,0.201002
0.171196,0.102313
0.821895,-0.245728
0.955800,-0.050000
0.821895,0.145728
0.760681,0.235204
0.626777,0.430932
0.395829,0.377051
0.290253,0.352420
0.059305,0.298539
0.025838,0.063762
0.670279,0.423260
0.577928,0.641689
0.340880,0.634764
0.232515,0.631599
-0.004534,0.624674
-0.083976,0.401226
-0.120293,0.299079
-0.199735,0.075631
-0.020260,-0.079381
0.657632,-0.289992
0.849144,-0.150124
0.788177,0.079055
0.760307,0.183823
0.699340,0.413002
0.463645,0.439224
0.355898,0.451211
0.120202,0.477432
0.010357,0.267256
0.737794,0.391262
0.723573,0.627985
0.497785,0.700509
0.394568,0.733663
0.168780,0.806188
0.019368,0.622024
-0.048934,0.537835
-0.198346,0.353671
-0.080839,0.147681
0.207850,0.826798
0.000972,0.942734
-0.182049,0.791925
-0.265716,0.722984
-0.448737,0.572175
-0.374496,0.346945
-0.340558,0.243983
-0.266317,0.018754
-0.029492,0.006335
-0.182049,-0.841925
0.000972,-0.992734
0.207850,-0.876798
0.302424,-0.823799
0.509303,-0.707863
0.476210,-0.473034
0.461082,-0.365683
0.427989,-0.130853
0.197128,-0.076605
0.497785,-0.750509
0.723573,-0.677985
0.737794,-0.441262
0.744295,-0.333045
0.758515,-0.096322
0.543033,0.002710
0.444527,0.047982
0.229044,0.147015
0.058661,-0.017938
0.788177,-0.129055
0.849144,0.100124
0.657632,0.239992
0.570083,0.303932
0.378571,0.443800
0.178813,0.315985
0.087494,0.257556
-0.112264,0.129741
-0.065520,-0.102756
0.340880,-0.684765
0.577928,-0.691689
0.670279,-0.473260
0.712496,-0.373406
0.804847,-0.154977
0.634726,0.010247
0.556956,0.085778
0.386835,0.251002
0.171196,0.152313
0.821895,-0.195728
0.955800,0.000000
0.821895,0.195728
0.760681,0.285204
0.626777,0.480932
0.395829,0.427051
0.290253,0.402420
0.059305,0.348539
0.025838,0.113762
0.670279,0.473260
0.577928,0.691689
0.340880,0.684765
0.232515,0.681599
-0.004534,0.674674
-0.083976,0.451226
-0.120293,0.349079
-0.199735,0.125631
-0.020260,-0.029381
0.657632,-0.239992
0.849144,-0.100124
0.788177,0.129055
0.760307,0.233823
0.699340,0.463002
0.463645,0.489224
0.355898,0.501211
0.120202,0.527433
0.010357,0.317256
0.737794,0.441262
0.723573,0.677985
0.497785,0.750509
0.394568,0.783663
0.168780,0.856188
0.019368,0.672024
-0.048934,0.587835
-0.198346,0.403671
-0.080839,0.197681
0.207850,0.876798
0.000972,0.992734
-0.182049,0.841925
-0.265716,0.772984
-0.448737,0.622175
-0.374496,0.396945
-0.340558,0.293983
-0.266317,0.068754
-0.029492,0.056335
-0.182049,-0.791925
0.000972,-0.942734
0.207850,-0.826798
0.302424,-0.773799
0.509303,-0.657863
0.476210,-0.423034
0.461082,-0.315683
0.427989,-0.080853
0.197128,-0.026605
0.497785,-0.700509
0.723573,-0.627985
0.737794,-0.391262
0.744295,-0.283045
0.758515,-0.046322
0.543033,0.052710
0.444527,0.097982
0.229044,0.197015
0.058661,0.032062
0.788177,-0.079055
0.849144,0.150124
0.657632,0.289992
0.570083,0.353932
0.378571,0.493800
0.178813,0.365985
0.087494,0.307556
-0.112264,0.179741
-0.065520,-0.052756
0.340880,-0.634764
0.577928,-0.641689
0.670279,-0.423260
0.712496,-0.323406
0.804847,-0.104977
0.634726,0.060247
0.556956,0.135778
0.386835,0.301002
0.171196,0.202313
0.821895,-0.145728
0.955800,0.050000
0.821895,0.245728
0.760681,0.335204
0.626777,0.530932
0.395829,0.477051
0.290253,0.452420
0.059305,0.398539
0.025838,0.163762
0.670279,0.523260
0.577928,0.741689
0.340880,0.734764
0.232515,0.731599
-0.004534,0.724674
-0.083976,0.501226
-0.120293,0.399079
-0.199735,0.175631
-0.020260,0.020619
0.657632,-0.189992
0.849144,-0.050124
0.788177,0.179055
0.760307,0.283823
0.699340,0.513002
0.463645,0.539224
0.355898,0.551211
0.120202,0.577432
0.010357,0.367256
0.737794,0.491262
0.723573,0.727985
0.497785,0.800509
0.394568,0.833663
0.168780,0.906188
0.019368,0.722024
-0.048934,0.637835
-0.198346,0.453671
-0.080839,0.247681
0.207850,0.926798
0.000972,1.042734
-0.182049,0.891925
-0.265716,0.822984
-0.448737,0.672175
-0.374496,0.446945
-0.340558,0.343983
-0.266317,0.118754
-0.029492,0.106335
-0.032049,-0.891925
