x,y
-0.029492,-0.106335
-0.149825,-0.075915
-0.266317,-0.118754
-0.338273,-0.219886
-0.254676,-0.223279
-0.371168,-0.266118
-0.443124,-0.367250
-0.445408,-0.491347
-0.374496,-0.446945
-0.446453,-0.548078
-0.448737,-0.672175
-0.380552,-0.775887
-0.347097,-0.699201
-0.349382,-0.823298
-0.281197,-0.927010
-0.166361,-0.974107
-0.073211,-0.170453
-0.193398,-0.201447
-0.275091,-0.294890
-0.289753,-0.418140
-0.214763,-0.381039
-0.296456,-0.474483
-0.311118,-0.597732
-0.253627,-0.707733
-0.212684,-0.634770
-0.227346,-0.758019
-0.169855,-0.868020
-0.060295,-0.926346
-0.067701,-0.843009
-0.010210,-0.953010
0.099350,-1.011336
0.222707,-0.997612
-0.080839,-0.247681
-0.171453,-0.332501
-0.198346,-0.453671
-0.152124,-0.568862
-0.104101,-0.500351
-0.130994,-0.621521
-0.084773,-0.736712
0.018417,-0.805685
0.019368,-0.722024
0.065590,-0.837215
0.168780,-0.906188
0.292891,-0.904848
0.246438,-0.835262
0.349628,-0.904235
0.473739,-0.902895
0.575416,-0.831711
-0.050507,-0.319112
-0.089363,-0.436991
-0.054873,-0.556221
0.040916,-0.635151
0.050215,-0.552003
0.084705,-0.671233
0.180494,-0.750163
0.304119,-0.761220
0.264845,-0.687345
0.360633,-0.766275
0.484258,-0.777332
0.592534,-0.716654
0.518406,-0.677858
0.642031,-0.688915
0.750307,-0.628237
0.805409,-0.517021
-0.017740,-0.064246
-0.141437,-0.074461
-0.237762,-0.152736
-0.273064,-0.271728
-0.192878,-0.247849
-0.289202,-0.326124
-0.324505,-0.445116
-0.286453,-0.563258
-0.233756,-0.498274
-0.269058,-0.617266
-0.231007,-0.735408
-0.132893,-0.811429
-0.126093,-0.728039
-0.088042,-0.846181
0.010072,-0.922202
0.133973,-0.929546
-0.038323,-0.139071
-0.141981,-0.207338
-0.188986,-0.322212
-0.162919,-0.443562
-0.103997,-0.384163
-0.151003,-0.499036
-0.124936,-0.620387
-0.034902,-0.705823
-0.019811,-0.623529
0.006256,-0.744879
0.096290,-0.830316
0.218839,-0.849993
0.184827,-0.773551
0.274861,-0.858988
0.397410,-0.878664
0.509664,-0.825708
-0.020513,-0.214603
-0.078752,-0.324210
-0.064930,-0.447556
0.016124,-0.541554
0.039355,-0.461178
0.053177,-0.584525
0.134232,-0.678522
0.254204,-0.710335
0.227994,-0.630881
0.309049,-0.724878
0.429021,-0.756691
0.546001,-0.715206
0.479506,-0.664429
0.599478,-0.696242
0.716458,-0.654756
0.789582,-0.554465
0.031328,-0.272351
0.032767,-0.396461
0.104032,-0.498081
0.220229,-0.541713
0.202082,-0.460038
0.273348,-0.561658
0.389544,-0.605290
0.510082,-0.575690
0.448988,-0.518528
0.565185,-0.562159
0.685722,-0.532560
0.768493,-0.440070
0.685794,-0.427388
0.806331,-0.397789
0.889102,-0.305299
0.905192,-0.182228
-0.020260,-0.020619
-0.133973,-0.070366
-0.199735,-0.175631
-0.194574,-0.299642
-0.126453,-0.251068
-0.192215,-0.356333
-0.187054,-0.480344
-0.112773,-0.579781
-0.083976,-0.501226
-0.078816,-0.625237
-0.004534,-0.724674
0.112919,-0.764800
0.092331,-0.683707
0.166612,-0.783144
0.284066,-0.823270
0.403661,-0.790069
-0.015486,-0.098076
-0.091429,-0.196250
-0.098674,-0.320157
-0.034691,-0.426513
0.001804,-0.351225
-0.005441,-0.475132
0.058542,-0.581488
0.171402,-0.633140
0.159013,-0.550396
0.222996,-0.656752
0.335856,-0.708403
0.458169,-0.687307
0.401223,-0.626012
0.514083,-0.677663
0.636396,-0.656567
0.725433,-0.570093
0.025838,-0.163762
0.006259,-0.286327
0.059305,-0.398539
0.166445,-0.461200
0.162378,-0.377633
0.215423,-0.489845
0.322564,-0.552505
0.446371,-0.543726
0.395829,-0.477051
0.502969,-0.539712
0.626777,-0.530932
0.724002,-0.453779
0.644640,-0.427289
0.768448,-0.418509
0.865673,-0.341356
0.902353,-0.222781
0.093595,-0.201596
0.135173,-0.318543
0.235523,-0.391587
0.359588,-0.395211
0.315955,-0.323824
0.416304,-0.396868
0.540370,-0.400492
0.644812,-0.333430
0.568491,-0.299149
0.692557,-0.302774
0.796999,-0.235712
0.845333,-0.121391
0.762986,-0.136192
0.867428,-0.069131
0.915762,0.045190
0.891104,0.166835
-0.036781,0.019837
-0.128238,-0.064074
-0.156342,-0.184968
-0.111275,-0.300616
-0.062569,-0.232588
-0.090672,-0.353483
-0.045605,-0.469131
0.056890,-0.539132
0.058678,-0.455485
0.103745,-0.571132
0.206240,-0.641133
0.330359,-0.641034
0.284604,-0.570988
0.387099,-0.640989
0.511217,-0.640890
0.613601,-0.570726
-0.007165,-0.051894
-0.047198,-0.169379
-0.013901,-0.288948
0.081094,-0.368832
0.091223,-0.285781
0.124520,-0.405350
0.219514,-0.485234
0.343023,-0.497527
0.304489,-0.423262
0.399484,-0.503146
0.522992,-0.515439
0.631869,-0.455847
0.558133,-0.416312
0.681641,-0.428604
0.790518,-0.369012
0.846729,-0.258352
0.053214,-0.100645
0.074408,-0.222941
0.160953,-0.311909
0.282617,-0.336470
0.251690,-0.258730
0.338235,-0.347699
0.459899,-0.372260
0.574181,-0.323835
0.504760,-0.277137
0.626424,-0.301698
0.740706,-0.253273
0.807685,-0.148778
0.724021,-0.149433
0.838303,-0.101008
0.905281,0.003487
0.901559,0.127550
0.129575,-0.114480
0.206806,-0.211644
0.325410,-0.248229
0.443955,-0.211455
0.379544,-0.158059
0.498148,-0.194645
0.616693,-0.157871
0.693769,-0.060584
0.610458,-0.052884
0.729004,-0.016110
0.806080,0.081177
0.814761,0.204991
0.741654,0.164306
0.818729,0.261592
0.827411,0.385407
0.764665,0.492497
-0.029492,-0.081335
-0.149825,-0.050915
-0.266317,-0.093754
-0.338273,-0.194886
-0.254676,-0.198279
-0.371168,-0.241118
-0.443124,-0.342250
-0.445408,-0.466347
-0.374496,-0.421945
-0.446453,-0.523078
-0.448737,-0.647175
-0.380552,-0.750887
-0.347097,-0.674201
-0.349382,-0.798298
-0.281197,-0.902010
-0.166361,-0.949107
-0.073211,-0.145453
-0.193398,-0.176447
-0.275091,-0.269891
-0.289753,-0.393140
-0.214763,-0.356039
-0.296456,-0.449483
-0.311118,-0.572732
-0.253627,-0.682733
-0.212684,-0.609770
-0.227346,-0.733019
-0.169855,-0.843020
-0.060295,-0.901346
-0.067701,-0.818009
