x,y
-0.029492,-0.106335
-0.340558,-0.343983
-0.182049,-0.891925
0.207850,-0.926798
0.010357,-0.367256
0.355898,-0.551211
0.788177,-0.179055
0.657632,0.189992
-0.065520,0.052756
0.087494,-0.307556
0.657632,-0.289992
0.788177,0.079055
0.197128,0.026605
0.461082,0.315683
0.207850,0.826798
-0.182049,0.791925
-0.029492,-0.006335
-0.340558,-0.243983
-0.182049,-0.791925
0.207850,-0.826798
0.010357,-0.267256
0.355898,-0.451211
0.788177,-0.079055
0.657632,0.289992
-0.065520,0.152756
0.087494,-0.207556
0.657632,-0.189992
0.788177,0.179055
0.197128,0.126605
0.461082,0.415683
0.207850,0.926798
-0.182049,0.891925
0.270508,-0.106335
-0.040558,-0.343983
0.117951,-0.891925
0.507851,-0.926798
0.310357,-0.367256
0.655898,-0.551211
1.088177,-0.179055
0.957632,0.189992
0.234480,0.052756
0.387494,-0.307556
0.957632,-0.289992
1.088177,0.079055
0.497128,0.026605
0.761082,0.315683
0.507851,0.826798
0.117951,0.791925
0.270508,-0.006335
-0.040558,-0.243983
0.117951,-0.791925
0.507851,-0.826798
0.310357,-0.267256
0.655898,-0.451211
1.088177,-0.079055
0.957632,0.289992
0.234480,0.152756
0.387494,-0.207556
0.957632,-0.189992
1.088177,0.179055
0.497128,0.126605
0.761082,0.415683
0.507851,0.926798
0.117951,0.891925
