x,y
0.01,0.99951
0.02,0.99804
0.03,0.99559
0.04,0.99215
0.05,0.98774
0.06,0.98234
0.07,0.97597
0.08,0.96861
0.09,0.96027
0.1,0.95095
0.11,0.94065
0.12,0.92937
0.13,0.91711
0.14,0.90386
0.15,0.88964
0.16,0.87443
0.17,0.85825
0.18,0.84108
0.19,0.82293
0.2,0.8038
0.21,0.78369
0.22,0.7626
0.23,0.74053
0.24,0.71747
0.25,0.69344
0.26,0.66842
0.27,0.64243
0.28,0.61545
0.29,0.58749
0.3,0.55855
0.31,0.52863
0.32,0.49773
0.33,0.46612
0.34,0.43449
0.35,0.40347
0.36,0.37367
0.37,0.34568
0.38,0.32003
0.39,0.29721
0.4,0.27766
0.41,0.26173
0.42,0.2497
0.43,0.24178
0.44,0.2381
0.45,0.23861
0.46,0.24285
0.47,0.25063
0.48,0.26177
0.49,0.27602
0.5,0.29306
0.51,0.31253
0.52,0.33403
0.53,0.35709
0.54,0.38127
0.55,0.40605
0.56,0.43095
0.57,0.45546
0.58,0.47913
0.59,0.50183
0.6,0.52353
0.61,0.54425
0.62,0.564
0.63,0.58276
0.64,0.60054
0.65,0.61734
0.66,0.63315
0.67,0.64799
0.68,0.66185
0.69,0.67472
0.7,0.68661
0.71,0.69753
0.72,0.70746
0.73,0.71641
0.74,0.72438
0.75,0.73137
0.76,0.73738
0.77,0.7424
0.78,0.74645
0.79,0.74951
0.8,0.7516
0.81,0.7527
0.82,0.75282
0.83,0.75196
0.84,0.75012
0.85,0.7473
0.86,0.7435
0.87,0.73872
0.88,0.73295
0.89,0.72621
0.9,0.71848
0.91,0.70977
0.92,0.70009
0.93,0.68942
0.94,0.67777
0.95,0.66514
0.96,0.65152
0.97,0.63693
0.98,0.62136
0.99,0.6048
1,0.58726
1.01,0.56875
1.02,0.54925
1.03,0.52877
1.04,0.50731
1.05,0.48493
1.06,0.46206
1.07,0.43917
1.08,0.41672
1.09,0.39515
1.1,0.37489
1.11,0.35632
1.12,0.3398
1.13,0.32564
1.14,0.3141
1.15,0.30538
1.16,0.29963
1.17,0.29695
1.18,0.29734
1.19,0.30073
1.2,0.30701
1.21,0.31603
1.22,0.32759
1.23,0.34143
1.24,0.35726
1.25,0.37474
1.26,0.39352
1.27,0.41321
1.28,0.4334
1.29,0.4537
1.3,0.4737
1.31,0.493
1.32,0.5113
1.33,0.52861
1.34,0.54493
1.35,0.56028
1.36,0.57465
1.37,0.58803
1.38,0.60044
1.39,0.61186
1.4,0.62231
1.41,0.63177
1.42,0.64025
1.43,0.64775
1.44,0.65427
1.45,0.6598
1.46,0.66436
1.47,0.66794
1.48,0.67053
1.49,0.67214
1.5,0.67278
1.51,0.67243
1.52,0.6711
1.53,0.66879
1.54,0.6655
1.55,0.66123
1.56,0.65597
1.57,0.64974
1.58,0.64252
1.59,0.63433
1.6,0.62515
1.61,0.61499
1.62,0.60385
1.63,0.59173
1.64,0.57863
1.65,0.56455
1.66,0.54948
1.67,0.53344
1.68,0.51641
1.69,0.49841
1.7,0.47958
1.71,0.46036
1.72,0.44112
1.73,0.42225
1.74,0.40411
1.75,0.38708
1.76,0.37146
1.77,0.35757
1.78,0.34565
1.79,0.33594
1.8,0.3286
1.81,0.32376
1.82,0.3215
1.83,0.32184
1.84,0.32482
1.85,0.33039
1.86,0.33839
1.87,0.34865
1.88,0.36095
1.89,0.37503
1.9,0.39058
1.91,0.40728
1.92,0.4248
1.93,0.44278
1.94,0.46085
1.95,0.47866
1.96,0.49585
1.97,0.5121
1.98,0.52735
1.99,0.54162
2,0.55492
2.01,0.56723
2.02,0.57856
2.03,0.58891
2.04,0.59827
2.05,0.60666
2.06,0.61407
2.07,0.62049
2.08,0.62593
2.09,0.6304
2.1,0.63388
2.11,0.63638
2.12,0.6379
2.13,0.63844
2.14,0.63799
2.15,0.63657
2.16,0.63417
2.17,0.63078
2.18,0.62641
2.19,0.62107
2.2,0.61474
2.21,0.60743
2.22,0.59914
2.23,0.58987
2.24,0.57962
2.25,0.56838
2.26,0.55617
2.27,0.54297
2.28,0.5288
2.29,0.51364
2.3,0.4975
2.31,0.48056
2.32,0.46318
2.33,0.44571
2.34,0.4285
2.35,0.41189
2.36,0.39621
2.37,0.38176
2.38,0.36881
2.39,0.35761
2.4,0.34837
2.41,0.34126
2.42,0.33638
2.43,0.33383
2.44,0.33364
2.45,0.33591
2.46,0.3406
2.47,0.34761
2.48,0.35677
2.49,0.36789
2.5,0.38072
2.51,0.395
2.52,0.41042
2.53,0.42667
2.54,0.44342
2.55,0.46034
2.56,0.47707
2.57,0.4933
2.58,0.50871
2.59,0.52311
2.6,0.53652
2.61,0.54896
2.62,0.56042
2.63,0.57089
2.64,0.58039
2.65,0.5889
2.66,0.59643
2.67,0.60299
2.68,0.60856
2.69,0.61315
2.7,0.61675
2.71,0.61938
2.72,0.62103
2.73,0.62169
2.74,0.62138
2.75,0.62008
2.76,0.6178
2.77,0.61455
2.78,0.61031
2.79,0.60509
2.8,0.59888
2.81,0.5917
2.82,0.58354
2.83,0.57439
2.84,0.56427
2.85,0.55316
2.86,0.54107
2.87,0.52801
2.88,0.51396
2.89,0.49893
2.9,0.48305
2.91,0.46668
2.92,0.45014
2.93,0.43376
2.94,0.41788
2.95,0.40279
2.96,0.3888
2.97,0.37616
2.98,0.36513
2.99,0.35591
3,0.34865
3.01,0.3435
3.02,0.34053
3.03,0.33978
3.04,0.34135
3.05,0.34528
3.06,0.35147
3.07,0.35977
3.08,0.37002
3.09,0.38197
3.1,0.39539
3.11,0.40998
3.12,0.42546
3.13,0.4415
3.14,0.45777
3.15,0.47397
3.16,0.48975
3.17,0.50482
3.18,0.51891
3.19,0.53201
3.2,0.54413
3.21,0.55527
3.22,0.56543
3.23,0.57461
3.24,0.58281
3.25,0.59003
3.26,0.59626
3.27,0.60152
3.28,0.60579
3.29,0.60908
3.3,0.61139
3.31,0.61272
3.32,0.61307
3.33,0.61244
3.34,0.61083
3.35,0.60824
3.36,0.60466
3.37,0.60011
3.38,0.59457
3.39,0.58805
3.4,0.58055
3.41,0.57207
3.42,0.56261
3.43,0.55217
3.44,0.54075
3.45,0.52835
3.46,0.51496
3.47,0.5006
3.48,0.48535
3.49,0.46955
3.5,0.45353
3.51,0.4376
3.52,0.42208
3.53,0.40727
3.54,0.39346
3.55,0.38092
3.56,0.36988
3.57,0.36056
3.58,0.35311
3.59,0.34768
3.6,0.34435
3.61,0.34317
3.62,0.34422
3.63,0.34758
3.64,0.35318
3.65,0.36089
3.66,0.37054
3.67,0.3819
3.68,0.39476
3.69,0.40882
3.7,0.42382
3.71,0.43943
3.72,0.45534
3.73,0.47123
3.74,0.48679
3.75,0.50171
3.76,0.51571
3.77,0.52871
3.78,0.54073
3.79,0.55176
3.8,0.56182
3.81,0.57089
3.82,0.57899
3.83,0.5861
3.84,0.59223
3.85,0.59738
3.86,0.60155
3.87,0.60474
3.88,0.60694
3.89,0.60817
3.9,0.60841
3.91,0.60768
3.92,0.60596
3.93,0.60326
3.94,0.59958
3.95,0.59492
3.96,0.58928
3.97,0.58266
3.98,0.57506
3.99,0.56647
4,0.55691
4.01,0.54636
4.02,0.53483
4.03,0.52233
4.04,0.50884
4.05,0.49438
4.06,0.47916
4.07,0.46352
4.08,0.44777
4.09,0.43222
4.1,0.41719
4.11,0.40296
4.12,0.38981
4.13,0.378
4.14,0.36774
4.15,0.35924
4.16,0.35263
4.17,0.34803
4.18,0.34552
4.19,0.34514
4.2,0.34702
4.21,0.35116
4.22,0.35748
4.23,0.36582
4.24,0.376
4.25,0.3878
4.26,0.40097
4.27,0.41524
4.28,0.43032
4.29,0.44589
4.3,0.46165
4.31,0.47727
4.32,0.49245
4.33,0.50689
4.34,0.52035
4.35,0.53282
4.36,0.5443
4.37,0.55481
4.38,0.56433
4.39,0.57287
4.4,0.58044
4.41,0.58702
4.42,0.59262
4.43,0.59724
4.44,0.60088
4.45,0.60353
4.46,0.60521
4.47,0.60591
4.48,0.60562
4.49,0.60435
4.5,0.60211
4.51,0.59888
4.52,0.59467
4.53,0.58948
4.54,0.58331
4.55,0.57615
4.56,0.56802
4.57,0.55891
4.58,0.54881
4.59,0.53773
4.6,0.52568
4.61,0.51264
4.62,0.49862
4.63,0.48375
4.64,0.46836
4.65,0.45276
4.66,0.43726
4.67,0.42218
4.68,0.4078
4.69,0.39442
4.7,0.38227
4.71,0.3716
4.72,0.3626
4.73,0.35544
4.74,0.35025
4.75,0.3471
4.76,0.34605
4.77,0.34716
4.78,0.35055
4.79,0.35614
4.8,0.36379
4.81,0.37332
4.82,0.38455
4.83,0.39722
4.84,0.41107
4.85,0.42582
4.86,0.44116
4.87,0.45678
4.88,0.47238
4.89,0.48764
4.9,0.50226
4.91,0.51596
4.92,0.52866
4.93,0.54038
4.94,0.55112
4.95,0.56088
4.96,0.56966
4.97,0.57746
4.98,0.58428
4.99,0.59011
5,0.59497
5.01,0.59884
5.02,0.60173
5.03,0.60364
5.04,0.60457
5.05,0.60452
5.06,0.60349
5.07,0.60148
5.08,0.59849
5.09,0.59451
5.1,0.58956
5.11,0.58362
5.12,0.5767
5.13,0.5688
5.14,0.55992
5.15,0.55006
5.16,0.53922
5.17,0.5274
5.18,0.5146
5.19,0.50081
5.2,0.48614
5.21,0.4709
5.22,0.4554
5.23,0.43995
5.24,0.42486
5.25,0.41042
5.26,0.39691
5.27,0.38461
5.28,0.37373
5.29,0.36448
5.3,0.35704
5.31,0.35153
5.32,0.34805
5.33,0.34665
5.34,0.34738
5.35,0.3504
5.36,0.35561
5.37,0.3629
5.38,0.37211
5.39,0.38303
5.4,0.39543
5.41,0.40906
5.42,0.42362
5.43,0.43883
5.44,0.45437
5.45,0.46994
5.46,0.48521
5.47,0.4999
5.48,0.51371
5.49,0.52652
5.5,0.53835
5.51,0.54919
5.52,0.55906
5.53,0.56794
5.54,0.57584
5.55,0.58277
5.56,0.58871
5.57,0.59367
5.58,0.59765
5.59,0.60064
5.6,0.60266
5.61,0.6037
5.62,0.60375
5.63,0.60282
5.64,0.60092
5.65,0.59803
5.66,0.59416
5.67,0.58931
5.68,0.58348
5.69,0.57667
5.7,0.56887
5.71,0.5601
5.72,0.55034
5.73,0.53961
5.74,0.52789
5.75,0.51519
5.76,0.50151
5.77,0.48693
5.78,0.47176
5.79,0.45631
5.8,0.44089
5.81,0.42581
5.82,0.41136
5.83,0.39784
5.84,0.38549
5.85,0.37455
5.86,0.36523
5.87,0.3577
5.88,0.35209
