x,y
1,-0.5
1.01,-0.47772
1.02,-0.42204
1.03,-0.34641
1.04,-0.26065
1.05,-0.17171
1.06,-0.084377
1.07,-0.0017552
1.08,0.074274
1.09,0.14273
1.1,0.20329
1.11,0.25604
1.12,0.3014
1.13,0.33992
1.14,0.37229
1.15,0.3992
1.16,0.42134
1.17,0.43939
1.18,0.45395
1.19,0.46558
1.2,0.47477
1.21,0.48195
1.22,0.48749
1.23,0.4917
1.24,0.49486
1.25,0.49718
1.26,0.49884
1.27,0.5
1.28,0.50077
1.29,0.50125
1.3,0.50152
1.31,0.50164
1.32,0.50164
1.33,0.50158
1.34,0.50147
1.35,0.50134
1.36,0.5012
1.37,0.50105
1.38,0.50091
1.39,0.50078
1.4,0.50065
1.41,0.50055
1.42,0.50045
1.43,0.50037
1.44,0.5003
1.45,0.50024
1.46,0.50019
1.47,0.50015
1.48,0.50012
1.49,0.50009
1.5,0.50007
1.51,0.50005
1.52,0.50004
1.53,0.50003
1.54,0.50002
1.55,0.50001
1.56,0.50001
1.57,0.5
1.58,0.5
1.59,0.5
1.6,0.5
1.61,0.5
1.62,0.5
1.63,0.5
1.64,0.5
1.65,0.5
1.66,0.5
1.67,0.5
1.68,0.5
1.69,0.5
1.7,0.5
1.71,0.5
1.72,0.5
1.73,0.5
1.74,0.5
1.75,0.5
1.76,0.5
1.77,0.5
1.78,0.5
1.79,0.5
1.8,0.5
1.81,0.5
1.82,0.5
1.83,0.5
1.84,0.5
1.85,0.5
1.86,0.5
1.87,0.5
1.88,0.5
1.89,0.5
1.9,0.5
1.91,0.5
1.92,0.5
1.93,0.5
1.94,0.5
1.95,0.5
1.96,0.5
1.97,0.5
1.98,0.5
1.99,0.5
2,0.5
