x,y
0.03,0
0.06,0
0.09,0
0.12,0
0.15,0
0.18,0
0.21,0
0.24,0
0.27,0
0.3,0
0.33,0.0021758
0.36,0.024867
0.39,0.080792
0.42,0.18508
0.45,0.35106
0.48,0.57555
0.51,0.79895
0.54,0.95898
0.57,1.0107
0.6,1.009
0.63,1.009
0.66,1.009
0.69,1.009
0.72,1.009
0.75,1.009
0.78,1.009
0.81,1.009
0.84,1.009
0.87,1.009
0.9,1.009
0.93,1.009
0.96,1.009
0.99,1.009
1.02,1.009
1.05,1.009
1.08,1.009
1.11,1.009
1.14,1.009
1.17,0.9828
1.2,0.86509
1.23,0.70333
1.26,0.56555
1.29,0.50663
1.32,0.53575
1.35,0.60998
1.38,0.67277
1.41,0.68714
1.44,0.68714
1.47,0.68714
1.5,0.68714
1.53,0.68714
1.56,0.68714
1.59,0.68714
1.62,0.68714
1.65,0.68714
1.68,0.68714
1.71,0.68714
1.74,0.68714
1.77,0.68714
1.8,0.68714
1.83,0.68714
1.86,0.68714
1.89,0.68714
1.92,0.68714
1.95,0.68714
1.98,0.6868
2.01,0.65217
2.04,0.59615
2.07,0.56984
2.1,0.62652
2.13,0.79298
2.16,1.0198
2.19,1.2191
2.22,1.3163
2.25,1.3173
2.28,1.3173
2.31,1.3173
2.34,1.3173
2.37,1.3173
2.4,1.3173
2.43,1.3173
2.46,1.3173
2.49,1.3173
2.52,1.3173
2.55,1.3173
2.58,1.3173
2.61,1.3173
2.64,1.3173
2.67,1.3173
2.7,1.3173
2.73,1.3173
2.76,1.3005
2.79,1.1612
2.82,0.93285
2.85,0.69105
2.88,0.50481
2.91,0.40323
2.94,0.37694
2.97,0.3845
3,0.39163
3.03,0.39133
3.06,0.39133
3.09,0.39133
3.12,0.39133
3.15,0.39133
3.18,0.39133
3.21,0.39133
3.24,0.39133
3.27,0.39133
3.3,0.39133
3.33,0.39133
3.36,0.39133
3.39,0.39133
3.42,0.39133
3.45,0.39133
3.48,0.39133
3.51,0.39133
3.54,0.39133
3.57,0.38924
3.6,0.39371
3.63,0.43854
3.66,0.56379
3.69,0.79676
3.72,1.1148
3.75,1.4201
3.78,1.6172
3.81,1.653
3.84,1.653
3.87,1.653
3.9,1.653
3.93,1.653
3.96,1.653
3.99,1.653
4.02,1.653
4.05,1.653
4.08,1.653
4.11,1.653
4.14,1.653
4.17,1.653
4.2,1.653
4.23,1.653
4.26,1.653
4.29,1.5396
4.32,1.2718
4.35,0.93082
4.38,0.6068
4.41,0.34587
4.44,0.18386
4.47,0.10161
4.5,0.072232
4.53,0.070755
4.56,0.070755
4.59,0.070755
4.62,0.070755
4.65,0.070755
4.68,0.070755
4.71,0.070755
4.74,0.070755
4.77,0.070755
4.8,0.070755
4.83,0.070755
4.86,0.070755
4.89,0.070755
4.92,0.070755
4.95,0.070755
4.98,0.070755
5.01,0.070755
5.04,0.070755
5.07,0.090473
5.1,0.16448
5.13,0.31644
5.16,0.56887
5.19,0.93096
5.22,1.3501
5.25,1.7092
5.28,1.9089
5.31,1.9257
5.34,1.9257
5.37,1.9257
5.4,1.9257
5.43,1.9257
5.46,1.9257
5.49,1.9257
5.52,1.9257
5.55,1.9257
5.58,1.9257
5.61,1.9257
5.64,1.9257
5.67,1.9257
5.7,1.9257
5.73,1.7874
5.76,1.4692
5.79,1.0634
5.82,0.67234
5.85,0.34144
5.88,0.12584
5.91,0.008041
5.94,-0.036658
5.97,-0.038326
