x,y
0.03,0.00047526
0.06,0.0013302
0.09,0.0020791
0.12,0.002605
0.15,0.0029304
0.18,0.0031131
0.21,0.0032068
0.24,0.0032501
0.27,0.0032675
0.3,0.0032727
0.33,0.0032722
0.36,0.0032552
0.39,0.0032194
0.42,0.0031671
0.45,0.0031007
0.48,0.0030223
0.51,0.0029336
0.54,0.0028362
0.57,0.0027318
0.6,-0.0028494
0.63,-0.014642
0.66,-0.025342
0.69,-0.033009
0.72,-0.037844
0.75,-0.040631
0.78,-0.042126
0.81,-0.042883
0.84,-0.043256
0.87,-0.043447
0.9,-0.043563
0.93,-0.043655
0.96,-0.043744
0.99,-0.043837
1.02,-0.043935
1.05,-0.044037
1.08,-0.044141
1.11,-0.044248
1.14,-0.044355
1.17,-0.044424
1.2,-0.044238
1.23,-0.043791
1.26,-0.043116
1.29,-0.042245
1.32,-0.041207
1.35,-0.040024
1.38,-0.03872
1.41,-0.03737
1.44,-0.040204
1.47,-0.04512
1.5,-0.049029
1.53,-0.051272
1.56,-0.052081
1.59,-0.051891
1.62,-0.051087
1.65,-0.049939
1.68,-0.048616
1.71,-0.047213
1.74,-0.045777
1.77,-0.044332
1.8,-0.042887
1.83,-0.041445
1.86,-0.040005
1.89,-0.038567
1.92,-0.03713
1.95,-0.035694
1.98,-0.034259
2.01,-0.032797
2.04,-0.031291
2.07,-0.029757
2.1,-0.028206
2.13,-0.026652
2.16,-0.025104
2.19,-0.023571
2.22,-0.022061
2.25,-0.024505
2.28,-0.037923
2.31,-0.051559
2.34,-0.06139
2.37,-0.067201
2.4,-0.069954
2.43,-0.070717
2.46,-0.070317
2.49,-0.069294
2.52,-0.06797
2.55,-0.066515
2.58,-0.065014
2.61,-0.063504
2.64,-0.061998
2.67,-0.060499
2.7,-0.059005
2.73,-0.057516
2.76,-0.056021
2.79,-0.054384
2.82,-0.052586
2.85,-0.050657
2.88,-0.048624
2.91,-0.046513
2.94,-0.044346
2.97,-0.042141
3,-0.039917
3.03,-0.038466
3.06,-0.038002
3.09,-0.037393
3.12,-0.036326
3.15,-0.034827
3.18,-0.033014
3.21,-0.031001
3.24,-0.028875
3.27,-0.026688
3.3,-0.024474
3.33,-0.022247
3.36,-0.020017
3.39,-0.017786
3.42,-0.015556
3.45,-0.013327
3.48,-0.011098
3.51,-0.0088699
3.54,-0.0066419
3.57,-0.0044547
3.6,-0.0024704
3.63,-0.00069494
3.66,0.00088397
3.69,0.0022805
3.72,0.0035081
3.75,0.0045743
3.78,0.0054907
3.81,0.005782
3.84,-0.0091448
3.87,-0.030046
3.9,-0.047181
3.93,-0.058628
3.96,-0.065273
3.99,-0.068608
4.02,-0.069919
4.05,-0.070108
4.08,-0.069727
4.11,-0.069086
4.14,-0.068343
4.17,-0.067571
4.2,-0.0668
4.23,-0.066037
4.26,-0.065283
4.29,-0.064397
4.32,-0.063203
4.35,-0.061741
4.38,-0.060051
4.41,-0.058176
4.44,-0.056143
4.47,-0.053982
4.5,-0.051722
4.53,-0.048933
4.56,-0.043652
4.59,-0.038036
4.62,-0.03316
4.65,-0.029152
4.68,-0.025829
4.71,-0.022962
4.74,-0.020365
4.77,-0.017915
4.8,-0.015537
4.83,-0.013192
4.86,-0.010858
4.89,-0.0085266
4.92,-0.006195
4.95,-0.003862
4.98,-0.0015276
5.01,0.00080771
5.04,0.0031436
5.07,0.0053839
5.1,0.0073418
5.13,0.0090313
5.16,0.010472
5.19,0.011686
5.22,0.012692
5.25,0.013504
5.28,0.014137
5.31,0.011918
5.34,-0.010199
5.37,-0.03603
5.4,-0.056237
5.43,-0.069492
5.46,-0.07718
5.49,-0.081136
5.52,-0.082858
5.55,-0.083361
5.58,-0.083258
5.61,-0.082885
5.64,-0.082411
5.67,-0.081912
5.7,-0.081416
5.73,-0.080721
5.76,-0.079591
5.79,-0.078082
5.82,-0.076246
5.85,-0.074141
5.88,-0.071803
5.91,-0.069271
5.94,-0.066585
5.97,-0.062931
6,-0.055263
6.03,-0.047151
6.06,-0.040265
6.09,-0.034786
6.12,-0.030406
6.15,-0.026755
6.18,-0.023535
6.21,-0.020549
6.24,-0.017677
6.27,-0.014856
6.3,-0.012053
6.33,-0.0092545
6.36,-0.006455
6.39,-0.0036532
6.42,-0.0008492
6.45,0.0019563
6.48,0.0047385
6.51,0.0072411
6.54,0.0094144
6.57,0.011282
6.6,0.012866
6.63,0.014197
6.66,0.015287
6.69,0.016156
6.72,0.016824
6.75,0.0029488
6.78,-0.023953
6.81,-0.047719
6.84,-0.064331
6.87,-0.074429
6.9,-0.079869
6.93,-0.082393
6.96,-0.083262
6.99,-0.083273
7.02,-0.082883
7.05,-0.082328
7.08,-0.081721
7.11,-0.081102
7.14,-0.080191
7.17,-0.078872
7.2,-0.077199
7.23,-0.075227
7.26,-0.073005
7.29,-0.070569
7.32,-0.06796
7.35,-0.065213
7.38,-0.060839
7.41,-0.053719
7.44,-0.046794
7.47,-0.040974
7.5,-0.036247
7.53,-0.03233
7.56,-0.028931
7.59,-0.025832
7.62,-0.022891
7.65,-0.020026
7.68,-0.017192
7.71,-0.01437
7.74,-0.011549
7.77,-0.0087274
7.8,-0.0059036
7.83,-0.0030782
7.86,-0.00025185
7.89,0.0023991
7.92,0.0047347
7.95,0.0067757
7.98,0.0085426
8.01,0.01006
8.04,0.011345
8.07,0.012412
8.1,0.013279
8.13,0.0088805
8.16,-0.013766
8.19,-0.037587
8.22,-0.055484
8.25,-0.06687
8.28,-0.073237
8.31,-0.07631
8.34,-0.077444
8.37,-0.077536
8.4,-0.077117
8.43,-0.076477
8.46,-0.075757
8.49,-0.07502
8.52,-0.074196
8.55,-0.073013
8.58,-0.0715
8.61,-0.069702
8.64,-0.067669
8.67,-0.065437
8.7,-0.063041
8.73,-0.060515
8.76,-0.057855
8.79,-0.054058
8.82,-0.049825
8.85,-0.045868
8.88,-0.042326
8.91,-0.039135
8.94,-0.036186
8.97,-0.033385
9,-0.030666
9.03,-0.027989
9.06,-0.025331
9.09,-0.02268
9.12,-0.020031
9.15,-0.017382
9.18,-0.014733
9.21,-0.012083
9.24,-0.0094322
9.27,-0.0068988
9.3,-0.0046081
9.33,-0.0025473
9.36,-0.00070357
9.39,0.00094012
9.42,0.0023939
9.45,0.0036679
9.48,0.0047742
9.51,0.0027171
9.54,-0.015585
9.57,-0.036079
9.6,-0.051736
9.63,-0.061713
9.66,-0.067214
9.69,-0.06974
9.72,-0.070497
9.75,-0.070294
9.78,-0.069617
9.81,-0.068732
9.84,-0.067769
9.87,-0.066787
9.9,-0.065805
9.93,-0.064623
9.96,-0.063162
9.99,-0.061465
10.02,-0.059569
10.05,-0.057513
10.08,-0.055324
10.11,-0.053029
10.14,-0.050657
10.17,-0.04888
10.2,-0.048691
10.23,-0.048498
10.26,-0.047735
10.29,-0.046378
10.32,-0.044574
10.35,-0.04248
10.38,-0.040217
10.41,-0.037863
10.44,-0.035466
10.47,-0.03305
10.5,-0.030627
10.53,-0.028204
10.56,-0.02578
10.59,-0.023358
10.62,-0.020937
10.65,-0.01859
10.68,-0.016391
10.71,-0.014336
10.74,-0.012422
10.77,-0.010643
10.8,-0.0089966
10.83,-0.0074789
10.86,-0.0060853
10.89,-0.0069597
10.92,-0.02134
10.95,-0.037884
10.98,-0.050511
11.01,-0.058424
11.04,-0.062592
11.07,-0.064261
11.1,-0.064438
11.13,-0.063805
11.16,-0.062769
11.19,-0.061555
11.22,-0.060275
11.25,-0.058979
11.28,-0.057685
11.31,-0.056331
11.34,-0.054777
11.37,-0.05305
11.4,-0.051181
11.43,-0.0492
11.46,-0.04713
11.49,-0.044995
11.52,-0.042814
11.55,-0.040733
11.58,-0.04251
11.61,-0.045808
11.64,-0.048147
11.67,-0.049038
11.7,-0.048706
11.73,-0.047532
11.76,-0.045842
11.79,-0.043867
11.82,-0.041746
11.85,-0.03956
11.88,-0.037347
11.91,-0.035127
11.94,-0.032907
11.97,-0.03069
12,-0.028475
12.03,-0.026304
12.06,-0.024212
12.09,-0.022203
12.12,-0.020279
12.15,-0.018442
12.18,-0.016695
12.21,-0.015039
12.24,-0.013475
12.27,-0.014389
12.3,-0.026468
12.33,-0.039781
12.36,-0.049677
12.39,-0.055653
12.42,-0.058561
12.45,-0.059441
12.48,-0.059118
12.51,-0.058144
12.54,-0.05685
12.57,-0.055416
12.6,-0.05393
12.63,-0.052432
12.66,-0.050937
12.69,-0.049412
12.72,-0.047753
12.75,-0.045979
12.78,-0.044112
12.81,-0.042176
12.84,-0.040192
12.87,-0.038177
12.9,-0.036146
12.93,-0.034122
12.96,-0.037042
12.99,-0.04305
13.02,-0.047918
13.05,-0.050683
13.08,-0.0516
13.11,-0.051216
13.14,-0.050026
13.17,-0.048383
13.2,-0.046508
13.23,-0.044525
13.26,-0.042498
13.29,-0.040459
13.32,-0.038419
13.35,-0.036381
13.38,-0.034348
13.41,-0.032326
13.44,-0.030327
13.47,-0.028361
13.5,-0.026436
13.53,-0.02456
13.56,-0.02274
13.59,-0.020981
13.62,-0.019288
13.65,-0.023514
13.68,-0.035201
13.71,-0.045791
13.74,-0.052924
13.77,-0.056787
13.8,-0.05827
13.83,-0.058247
13.86,-0.057362
13.89,-0.056025
13.92,-0.054475
13.95,-0.052835
13.98,-0.051167
14.01,-0.049494
14.04,-0.047826
14.07,-0.046099
14.1,-0.044274
14.13,-0.042374
14.16,-0.040419
14.19,-0.038428
14.22,-0.036419
14.25,-0.034405
14.28,-0.032399
14.31,-0.03151
14.34,-0.037485
14.37,-0.04456
14.4,-0.049643
14.43,-0.052328
14.46,-0.053109
14.49,-0.052619
14.52,-0.05137
14.55,-0.049708
14.58,-0.047842
14.61,-0.045886
14.64,-0.043896
14.67,-0.041897
14.7,-0.0399
14.73,-0.037907
14.76,-0.035906
14.79,-0.033903
14.82,-0.031911
14.85,-0.029941
14.88,-0.028002
14.91,-0.026104
14.94,-0.024255
14.97,-0.022461
15,-0.022975
15.03,-0.032662
15.06,-0.04315
15.09,-0.050747
15.12,-0.0551
15.15,-0.056934
15.18,-0.057109
15.21,-0.056303
15.24,-0.054969
15.27,-0.053376
15.3,-0.051669
15.33,-0.04992
15.36,-0.048163
15.39,-0.046408
15.42,-0.044629
15.45,-0.04277
15.48,-0.040849
15.51,-0.038885
15.54,-0.036896
15.57,-0.034897
15.6,-0.032903
15.63,-0.030924
15.66,-0.029057
15.69,-0.033952
15.72,-0.042183
15.75,-0.048801
15.78,-0.052751
15.81,-0.054405
15.84,-0.054459
15.87,-0.053529
15.9,-0.05205
15.93,-0.05029
15.96,-0.048401
15.99,-0.046461
16.02,-0.044506
16.05,-0.04255
16.08,-0.040598
16.11,-0.038626
16.14,-0.036631
16.17,-0.034628
16.2,-0.032631
16.23,-0.030652
16.26,-0.028702
16.29,-0.02679
16.32,-0.024923
16.35,-0.024951
16.38,-0.033584
16.41,-0.04317
16.44,-0.050121
16.47,-0.054049
16.5,-0.055613
16.53,-0.055612
16.56,-0.054684
16.59,-0.053255
16.62,-0.051579
16.65,-0.049794
16.68,-0.04797
16.71,-0.046136
16.74,-0.044305
16.77,-0.042456
16.8,-0.040548
16.83,-0.038597
16.86,-0.036622
16.89,-0.034637
16.92,-0.032656
16.95,-0.030691
16.98,-0.028753
17.01,-0.026893
17.04,-0.03222
17.07,-0.041527
17.1,-0.049149
17.13,-0.05384
17.16,-0.055981
17.19,-0.056336
17.22,-0.055589
17.25,-0.054225
17.28,-0.052545
17.31,-0.050718
17.34,-0.048833
17.37,-0.046931
17.4,-0.045028
17.43,-0.043125
17.46,-0.041176
17.49,-0.039186
17.52,-0.037171
17.55,-0.035147
17.58,-0.033129
17.61,-0.031128
17.64,-0.029155
17.67,-0.02722
17.7,-0.028869
17.73,-0.037546
17.76,-0.045889
17.79,-0.051512
17.82,-0.054405
17.85,-0.055262
17.88,-0.054812
17.91,-0.053602
17.94,-0.051991
17.97,-0.050187
18,-0.048301
18.03,-0.046386
18.06,-0.044467
18.09,-0.042551
18.12,-0.040612
18.15,-0.038633
18.18,-0.036632
18.21,-0.034624
18.24,-0.032623
18.27,-0.030641
18.3,-0.028688
18.33,-0.026773
18.36,-0.025709
18.39,-0.033255
18.42,-0.042909
18.45,-0.050241
18.48,-0.054534
18.51,-0.056353
18.54,-0.056497
18.57,-0.055633
18.6,-0.054215
18.63,-0.05252
18.66,-0.050701
18.69,-0.048834
18.72,-0.046954
18.75,-0.045076
18.78,-0.04318
18.81,-0.041226
18.84,-0.03923
18.87,-0.03721
18.9,-0.035182
18.93,-0.03316
18.96,-0.031155
18.99,-0.029179
19.02,-0.027281
19.05,-0.032555
19.08,-0.0418
19.11,-0.049364
19.14,-0.054003
19.17,-0.056098
19.2,-0.056412
19.23,-0.055626
19.26,-0.054225
19.29,-0.052508
19.32,-0.050645
19.35,-0.048724
19.38,-0.046786
19.41,-0.044847
19.44,-0.042904
19.47,-0.040915
19.5,-0.038891
19.53,-0.036849
19.56,-0.034802
19.59,-0.032766
19.62,-0.030752
19.65,-0.028769
19.68,-0.026828
19.71,-0.029532
19.74,-0.038781
19.77,-0.047243
19.8,-0.052818
19.83,-0.055623
19.86,-0.056402
19.89,-0.055893
19.92,-0.054644
19.95,-0.053007
19.98,-0.051185
20.01,-0.049286
20.04,-0.047361
20.07,-0.045433
20.1,-0.043505
20.13,-0.041535
20.16,-0.039523
20.19,-0.037487
20.22,-0.035443
20.25,-0.033404
20.28,-0.031384
20.31,-0.029392
20.34,-0.027438
20.37,-0.028327
20.4,-0.037057
20.43,-0.045942
20.46,-0.052109
20.49,-0.055405
20.52,-0.056517
20.55,-0.056208
20.58,-0.055067
20.61,-0.053483
20.64,-0.051682
20.67,-0.049789
20.7,-0.047863
20.73,-0.04593
20.76,-0.043999
20.79,-0.042035
20.82,-0.040026
20.85,-0.037989
20.88,-0.03594
20.91,-0.033895
20.94,-0.031865
20.97,-0.029862
21,-0.027895
21.03,-0.027284
21.06,-0.034894
21.09,-0.043821
21.12,-0.050363
21.15,-0.054034
21.18,-0.055425
21.21,-0.055294
21.24,-0.054255
21.27,-0.052722
21.3,-0.050944
21.33,-0.049057
21.36,-0.04713
21.39,-0.045193
21.42,-0.043258
21.45,-0.041304
21.48,-0.039308
21.51,-0.037288
21.54,-0.035259
21.57,-0.033235
21.6,-0.031228
21.63,-0.02925
21.66,-0.027309
21.69,-0.025777
21.72,-0.032374
21.75,-0.041821
21.78,-0.049213
21.81,-0.053625
21.84,-0.055543
21.87,-0.055751
21.9,-0.054917
21.93,-0.053507
21.96,-0.051805
21.99,-0.049971
22.02,-0.048086
22.05,-0.046186
22.08,-0.044286
22.11,-0.042371
22.14,-0.040404
22.17,-0.038403
22.2,-0.036384
22.23,-0.034361
22.26,-0.032348
22.29,-0.030358
22.32,-0.028399
22.35,-0.026523
22.38,-0.031947
22.41,-0.041414
22.44,-0.049171
22.47,-0.05395
22.5,-0.056139
22.53,-0.056514
22.56,-0.055771
22.59,-0.0544
22.62,-0.052708
22.65,-0.050868
22.68,-0.048969
22.71,-0.047052
22.74,-0.045134
22.77,-0.043206
22.8,-0.041226
22.83,-0.039207
22.86,-0.037168
22.89,-0.035122
22.92,-0.033084
22.95,-0.031066
22.98,-0.029078
23.01,-0.027131
23.04,-0.031049
23.07,-0.040236
23.1,-0.048154
23.13,-0.053178
23.16,-0.055569
23.19,-0.056075
23.22,-0.055402
23.25,-0.054059
23.28,-0.05237
23.31,-0.050518
23.34,-0.048599
23.37,-0.04666
23.4,-0.044719
23.43,-0.042773
23.46,-0.040783
23.49,-0.038758
23.52,-0.036716
23.55,-0.034671
23.58,-0.032636
23.61,-0.030624
23.64,-0.028645
23.67,-0.026707
23.7,-0.029412
23.73,-0.03866
23.76,-0.047121
23.79,-0.052696
23.82,-0.055503
23.85,-0.056284
23.88,-0.055777
23.91,-0.054532
23.94,-0.052898
23.97,-0.05108
24,-0.049185
24.03,-0.047264
24.06,-0.045339
24.09,-0.043412
24.12,-0.041439
24.15,-0.039426
24.18,-0.037389
24.21,-0.035345
24.24,-0.033306
24.27,-0.031287
24.3,-0.029296
24.33,-0.027345
24.36,-0.029052
24.39,-0.037934
24.42,-0.046476
24.45,-0.05224
24.48,-0.055218
24.51,-0.056117
24.54,-0.055681
24.57,-0.05447
24.6,-0.05285
24.63,-0.051032
24.66,-0.04913
24.69,-0.0472
24.72,-0.045265
24.75,-0.04333
24.78,-0.041354
24.81,-0.039338
24.84,-0.0373
24.87,-0.035255
24.9,-0.033217
24.93,-0.031198
24.96,-0.029209
24.99,-0.027258
25.02,-0.028158
25.05,-0.036917
25.08,-0.045831
25.11,-0.052022
25.14,-0.055334
25.17,-0.056457
25.2,-0.056156
25.23,-0.055021
25.26,-0.053442
25.29,-0.051646
25.32,-0.049756
25.35,-0.047834
25.38,-0.045905
25.41,-0.043977
25.44,-0.042008
25.47,-0.039994
25.5,-0.037953
25.53,-0.035902
25.56,-0.033854
25.59,-0.031822
25.62,-0.029817
25.65,-0.02785
25.68,-0.028198
25.71,-0.036682
25.74,-0.045689
25.77,-0.052055
25.8,-0.055516
25.83,-0.05674
25.86,-0.056495
25.89,-0.055385
25.92,-0.05381
25.95,-0.052007
25.98,-0.050106
26.01,-0.048169
26.04,-0.046224
26.07,-0.044281
26.1,-0.042301
26.13,-0.040274
26.16,-0.038221
26.19,-0.036157
26.22,-0.034096
26.25,-0.032051
26.28,-0.030033
26.31,-0.028053
26.34,-0.027895
26.37,-0.036042
26.4,-0.045107
26.43,-0.05163
26.46,-0.055236
26.49,-0.056561
26.52,-0.056376
26.55,-0.055295
26.58,-0.053732
26.61,-0.051929
26.64,-0.050022
26.67,-0.048077
26.7,-0.046123
26.73,-0.044171
26.76,-0.042186
26.79,-0.040157
26.82,-0.038102
26.85,-0.036037
26.88,-0.033975
26.91,-0.031931
26.94,-0.029915
26.97,-0.027936
27,-0.027348
27.03,-0.03519
27.06,-0.044384
27.09,-0.051132
27.12,-0.054936
27.15,-0.056401
27.18,-0.056304
27.21,-0.055277
27.24,-0.053743
27.27,-0.051957
27.3,-0.050061
27.33,-0.048123
27.36,-0.046175
27.39,-0.044228
27.42,-0.042252
27.45,-0.040231
27.48,-0.038182
27.51,-0.036122
27.54,-0.034065
27.57,-0.032024
27.6,-0.03001
27.63,-0.028032
27.66,-0.02705
27.69,-0.034433
27.72,-0.043614
27.75,-0.050486
27.78,-0.054423
27.81,-0.055991
27.84,-0.055964
27.87,-0.054978
27.9,-0.053469
27.93,-0.051697
27.96,-0.049808
27.99,-0.047876
28.02,-0.045932
28.05,-0.043989
28.08,-0.042022
28.11,-0.04001
28.14,-0.03797
28.17,-0.03592
28.2,-0.033873
28.23,-0.031842
28.26,-0.029837
28.29,-0.02787
28.32,-0.026579
28.35,-0.033661
28.38,-0.043064
28.41,-0.050259
28.44,-0.05447
28.47,-0.056231
28.5,-0.056326
28.53,-0.055415
28.56,-0.053949
28.59,-0.052205
28.62,-0.050335
28.65,-0.048417
28.68,-0.046486
28.71,-0.044556
28.74,-0.042601
28.77,-0.040597
28.8,-0.03856
28.83,-0.036509
28.86,-0.034457
28.89,-0.032418
28.92,-0.030403
28.95,-0.028422
28.98,-0.026854
29.01,-0.033543
29.04,-0.043128
29.07,-0.050625
29.1,-0.055094
29.13,-0.05703
29.16,-0.057229
29.19,-0.056369
29.22,-0.054924
29.25,-0.053182
29.28,-0.051306
29.31,-0.049378
29.34,-0.047435
29.37,-0.045492
29.4,-0.043525
29.43,-0.041503
29.46,-0.039446
29.49,-0.037371
29.52,-0.035292
29.55,-0.033224
29.58,-0.031179
29.61,-0.029166
29.64,-0.027545
29.67,-0.033747
29.7,-0.042691
29.73,-0.049658
29.76,-0.053757
29.79,-0.055456
29.82,-0.055509
29.85,-0.054559
29.88,-0.053055
29.91,-0.05127
29.94,-0.049358
29.97,-0.047396
30,-0.045421
