x,y
0.01,0.99951
0.02,0.99804
0.03,0.99559
0.04,0.99215
0.05,0.98774
0.06,0.98234
0.07,0.97597
0.08,0.96861
0.09,0.96027
0.1,0.95095
0.11,0.94065
0.12,0.92937
0.13,0.91711
0.14,0.90386
0.15,0.88964
0.16,0.87443
0.17,0.85825
0.18,0.84108
0.19,0.82293
0.2,0.8038
0.21,0.78369
0.22,0.7626
0.23,0.74053
0.24,0.71747
0.25,0.69344
0.26,0.66842
0.27,0.64243
0.28,0.61545
0.29,0.58749
0.3,0.55855
0.31,0.52863
0.32,0.49773
0.33,0.46612
0.34,0.43449
0.35,0.40347
0.36,0.37367
0.37,0.34568
0.38,0.32003
0.39,0.29721
0.4,0.27766
0.41,0.26173
0.42,0.2497
0.43,0.24178
0.44,0.2381
0.45,0.23867
0.46,0.24343
0.47,0.25223
0.48,0.26486
0.49,0.28105
0.5,0.30042
0.51,0.32258
0.52,0.34705
0.53,0.37332
0.54,0.40087
0.55,0.42912
0.56,0.45752
0.57,0.48549
0.58,0.51253
0.59,0.53856
0.6,0.56362
0.61,0.58769
0.62,0.61078
0.63,0.63289
0.64,0.65402
0.65,0.67417
0.66,0.69334
0.67,0.71153
0.68,0.72874
0.69,0.74496
0.7,0.7602
0.71,0.77447
0.72,0.78775
0.73,0.80005
0.74,0.81137
0.75,0.82171
0.76,0.83107
0.77,0.83944
0.78,0.84684
0.79,0.85326
0.8,0.85869
0.81,0.86314
0.82,0.86661
0.83,0.86911
0.84,0.87062
0.85,0.87114
0.86,0.87069
0.87,0.86926
0.88,0.86685
0.89,0.86345
0.9,0.85907
0.91,0.85372
0.92,0.84738
0.93,0.84006
0.94,0.83176
0.95,0.82248
0.96,0.81222
0.97,0.80097
0.98,0.78875
0.99,0.77555
1,0.76136
1.01,0.74619
1.02,0.73005
1.03,0.71292
1.04,0.69481
1.05,0.67572
1.06,0.65564
1.07,0.63459
1.08,0.61256
1.09,0.58954
1.1,0.56555
1.11,0.54057
1.12,0.51461
1.13,0.4877
1.14,0.46027
1.15,0.4329
1.16,0.40614
1.17,0.3805
1.18,0.3565
1.19,0.33459
1.2,0.31519
1.21,0.29867
1.22,0.28532
1.23,0.27538
1.24,0.26903
1.25,0.26635
1.26,0.2674
1.27,0.27229
1.28,0.28091
1.29,0.29305
1.3,0.30844
1.31,0.32674
1.32,0.34756
1.33,0.37047
1.34,0.39499
1.35,0.42062
1.36,0.44684
1.37,0.47312
1.38,0.49895
1.39,0.52384
1.4,0.54773
1.41,0.57064
1.42,0.59257
1.43,0.61352
1.44,0.63349
1.45,0.65248
1.46,0.67049
1.47,0.68751
1.48,0.70356
1.49,0.71862
1.5,0.7327
1.51,0.74581
1.52,0.75793
1.53,0.76907
1.54,0.77922
1.55,0.7884
1.56,0.7966
1.57,0.80381
1.58,0.81005
1.59,0.8153
1.6,0.81958
1.61,0.82287
1.62,0.82518
1.63,0.82651
1.64,0.82686
1.65,0.82622
1.66,0.82461
1.67,0.82202
1.68,0.81844
1.69,0.81388
1.7,0.80835
1.71,0.80183
1.72,0.79433
1.73,0.78585
1.74,0.77639
1.75,0.76595
1.76,0.75452
1.77,0.74212
1.78,0.72873
1.79,0.71437
1.8,0.69902
1.81,0.68269
1.82,0.66538
1.83,0.64709
1.84,0.62782
1.85,0.60757
1.86,0.58633
1.87,0.56412
1.88,0.54093
1.89,0.51675
1.9,0.4916
1.91,0.46585
1.92,0.44003
1.93,0.41465
1.94,0.39023
1.95,0.36723
1.96,0.3461
1.97,0.32725
1.98,0.31103
1.99,0.29773
2,0.2876
2.01,0.28081
2.02,0.27747
2.03,0.27763
2.04,0.28148
2.05,0.28897
2.06,0.29993
2.07,0.31409
2.08,0.33115
2.09,0.35074
2.1,0.37246
2.11,0.39585
2.12,0.42043
2.13,0.4457
2.14,0.47115
2.15,0.49627
2.16,0.52058
2.17,0.54388
2.18,0.5662
2.19,0.58753
2.2,0.60789
2.21,0.62726
2.22,0.64565
2.23,0.66306
2.24,0.67949
2.25,0.69494
2.26,0.70941
2.27,0.7229
2.28,0.73541
2.29,0.74693
2.3,0.75747
2.31,0.76704
2.32,0.77562
2.33,0.78322
2.34,0.78984
2.35,0.79548
2.36,0.80014
2.37,0.80382
2.38,0.80651
2.39,0.80823
2.4,0.80896
2.41,0.80872
2.42,0.80749
2.43,0.80528
2.44,0.80209
2.45,0.79792
2.46,0.79277
2.47,0.78663
2.48,0.77952
2.49,0.77143
2.5,0.76235
2.51,0.75229
2.52,0.74126
2.53,0.72924
2.54,0.71624
2.55,0.70226
2.56,0.68729
2.57,0.67135
2.58,0.65443
2.59,0.63652
2.6,0.61764
2.61,0.59777
2.62,0.57692
2.63,0.55509
2.64,0.53228
2.65,0.50849
2.66,0.48379
2.67,0.45863
2.68,0.43355
2.69,0.40904
2.7,0.38558
2.71,0.36363
2.72,0.34362
2.73,0.32592
2.74,0.31086
2.75,0.29873
2.76,0.28973
2.77,0.28402
2.78,0.28168
2.79,0.28281
2.8,0.28759
2.81,0.29593
2.82,0.30761
2.83,0.32238
2.84,0.33991
2.85,0.35983
2.86,0.38173
2.87,0.40515
2.88,0.42961
2.89,0.45461
2.9,0.47966
2.91,0.50425
2.92,0.52792
2.93,0.55059
2.94,0.57228
2.95,0.59298
2.96,0.61271
2.97,0.63145
2.98,0.64922
2.99,0.666
3,0.6818
3.01,0.69662
3.02,0.71046
3.03,0.72332
3.04,0.73519
3.05,0.74609
3.06,0.756
3.07,0.76494
3.08,0.77289
3.09,0.77986
3.1,0.78585
3.11,0.79086
3.12,0.79489
3.13,0.79794
3.14,0.80001
3.15,0.80109
3.16,0.8012
3.17,0.80032
3.18,0.79847
3.19,0.79563
3.2,0.79181
3.21,0.78701
3.22,0.78123
3.23,0.77447
3.24,0.76672
3.25,0.758
3.26,0.74829
3.27,0.73761
3.28,0.72594
3.29,0.71329
3.3,0.69966
3.31,0.68505
3.32,0.66946
3.33,0.65289
3.34,0.63534
3.35,0.6168
3.36,0.59729
3.37,0.57679
3.38,0.55532
3.39,0.53286
3.4,0.50942
3.41,0.48506
3.42,0.46022
3.43,0.43543
3.44,0.41116
3.45,0.38791
3.46,0.36611
3.47,0.3462
3.48,0.32855
3.49,0.31349
3.5,0.3013
3.51,0.2922
3.52,0.28633
3.53,0.2838
3.54,0.28467
3.55,0.28916
3.56,0.2972
3.57,0.30857
3.58,0.32302
3.59,0.34025
3.6,0.35988
3.61,0.3815
3.62,0.40466
3.63,0.42889
3.64,0.4537
3.65,0.47858
3.66,0.50305
3.67,0.52663
3.68,0.5492
3.69,0.57078
3.7,0.59139
3.71,0.61101
3.72,0.62966
3.73,0.64732
3.74,0.664
3.75,0.6797
3.76,0.69442
3.77,0.70816
3.78,0.72091
3.79,0.73269
3.8,0.74349
3.81,0.7533
3.82,0.76213
3.83,0.76998
3.84,0.77686
3.85,0.78275
3.86,0.78765
3.87,0.79158
3.88,0.79453
3.89,0.7965
3.9,0.79748
3.91,0.79748
3.92,0.79651
3.93,0.79455
3.94,0.79161
3.95,0.78769
3.96,0.78279
3.97,0.77691
3.98,0.77004
3.99,0.7622
4,0.75338
4.01,0.74357
4.02,0.73278
4.03,0.72101
4.04,0.70827
4.05,0.69454
4.06,0.67982
4.07,0.66413
4.08,0.64746
4.09,0.62981
4.1,0.61117
4.11,0.59155
4.12,0.57096
4.13,0.54938
4.14,0.52682
4.15,0.50328
4.16,0.47888
4.17,0.45414
4.18,0.42956
4.19,0.40562
4.2,0.3828
4.21,0.36154
4.22,0.34225
4.23,0.32529
4.24,0.31099
4.25,0.29959
4.26,0.29131
4.27,0.28628
4.28,0.28456
4.29,0.28629
4.3,0.29163
4.31,0.30045
4.32,0.31255
4.33,0.32766
4.34,0.34545
4.35,0.36554
4.36,0.3875
4.37,0.4109
4.38,0.43525
4.39,0.46005
4.4,0.48481
4.41,0.50904
4.42,0.53231
4.43,0.5546
4.44,0.5759
4.45,0.59622
4.46,0.61556
4.47,0.63391
4.48,0.65129
4.49,0.66769
4.5,0.6831
4.51,0.69753
4.52,0.71099
4.53,0.72346
4.54,0.73495
4.55,0.74546
4.56,0.75499
4.57,0.76354
4.58,0.7711
4.59,0.77769
4.6,0.78329
4.61,0.78792
4.62,0.79156
4.63,0.79422
4.64,0.7959
4.65,0.7966
4.66,0.79632
4.67,0.79506
4.68,0.79281
4.69,0.78959
4.7,0.78539
4.71,0.7802
4.72,0.77403
4.73,0.76688
4.74,0.75875
4.75,0.74964
4.76,0.73955
4.77,0.72848
4.78,0.71643
4.79,0.70339
4.8,0.68938
4.81,0.67438
4.82,0.6584
4.83,0.64145
4.84,0.62351
4.85,0.60459
4.86,0.58469
4.87,0.5638
4.88,0.54194
4.89,0.5191
4.9,0.49527
4.91,0.47073
4.92,0.44602
4.93,0.42163
4.94,0.39804
4.95,0.37571
4.96,0.35508
4.97,0.33654
4.98,0.32044
4.99,0.30709
5,0.29671
5.01,0.28949
5.02,0.28555
5.03,0.28494
5.04,0.28788
5.05,0.29441
5.06,0.30436
5.07,0.31749
5.08,0.33353
5.09,0.35212
5.1,0.37288
5.11,0.39537
5.12,0.41912
5.13,0.44366
5.14,0.46849
5.15,0.49312
5.16,0.51704
5.17,0.53996
5.18,0.56189
5.19,0.58284
5.2,0.60281
5.21,0.6218
5.22,0.6398
5.23,0.65683
5.24,0.67287
5.25,0.68794
5.26,0.70202
5.27,0.71512
5.28,0.72724
5.29,0.73838
5.3,0.74854
5.31,0.75772
5.32,0.76592
5.33,0.77314
5.34,0.77937
5.35,0.78462
5.36,0.7889
5.37,0.79219
5.38,0.7945
5.39,0.79583
5.4,0.79618
5.41,0.79555
5.42,0.79394
5.43,0.79134
5.44,0.78777
5.45,0.78321
5.46,0.77767
5.47,0.77116
5.48,0.76366
5.49,0.75518
5.5,0.74572
5.51,0.73527
5.52,0.72385
5.53,0.71145
5.54,0.69806
5.55,0.6837
5.56,0.66835
5.57,0.65202
5.58,0.63471
5.59,0.61642
5.6,0.59715
5.61,0.5769
5.62,0.55567
5.63,0.53345
5.64,0.51026
5.65,0.48612
5.66,0.46149
5.67,0.43686
5.68,0.41273
5.69,0.38958
5.7,0.36786
5.71,0.34799
5.72,0.33034
5.73,0.31525
5.74,0.30299
5.75,0.29378
5.76,0.28778
5.77,0.28508
5.78,0.28575
5.79,0.29002
5.8,0.29782
5.81,0.30895
5.82,0.32318
5.83,0.34019
5.84,0.35961
5.85,0.38103
5.86,0.40403
5.87,0.42811
5.88,0.4528
